Pumpkin|On the front steps|These were'nt made to code!
Ghost|By the door|Where the mail comes in
Jack O' Lantern|Front entry way|Where the coats hang
Purple Candy|Dining Room|Where dinners are held
Candy Corn|Kitchen|Some can do it, others just risk burning the house down
Wich Hat|Main Room|Where the fire crackles
Cobweb|Stairway|The bridge between the house's two halves
Cauldron|Upstairs landing|A place inaccessible to the disabled
Skeleton|Bath tub|Some say this is where you get clean
Bloody Knife|Bathroom Sink|Where tooth brushes reside
Graves|Back Yard|Fetch!
